"Index","UID1","Ques1","Ans1","UID2","Ques2","Ans2"
"0","398","Which language was used originally for the creation of ...And Justice for All ?","English","1400","Who has Los Angeles as ethnic group ?","Rose Catherine Pinkney"
"1","11881","Which book has Ruthenian as its original language of creation ?","Bible of Francysk Skaryna","2248","Which ethnic group does Jesus Christ belong ?","Jews"
"2","54130","Which television program is known to be originally created in Serbia language ?","Kitchen","18691","Which person has Belgium as his/her ethnicity ?","Pascal White"
"3","7","What battle was Cal Dorsett a part of ?","World War II","29373","Which administrative territory does Suicide of Phoebe Prince have as ethnic origin ?","Ireland"
"4","424","Which glittering generality did Juan José Gómez take part in ?","Mexican Revolution","207","Which work of art has Hayao Miyazaki as cinematographer ?","The Wind Rises"
"5","587","What was the war that Charles Adam Heckman took part in","American Civil War","819","Which person is the cinematographer of The Blues Brothers ?","Stephen Marshall Katz"
"6","206","What event was Japan a participant of ?","World War II","1208","Which person serves as the director of photography for Circle of Iron ?","Ronnie Taylor"
"7","583","Which sport discipline has Caroline Wozniacki as its participant ?","2016 Australian Open – Women's Singles","650","Where was Rachel Carson decalred as a victor ?","National Book Award for Nonfiction"
"8","1074","Which event did Angélique Bègue participate in ?","70 years / 70 works of art","680","Which award was won by Lilly Wachowski ?","Saturn Award for Best Director"
"9","1550","Who attended World War I ?","Germany","1106","Which national sports team emerged victorious in 2006 FIFA World Cup ?","Italy national football team"
"10","1910","What event did Republican Party particiate in ?","2016 Republican Party presidential primaries","8274","Which sports club was the winner of 1993-1994 Cyprus Volleyball Division 1 ?","Anorthosis Famagusta Volley (men)"
"11","23383","Who attended Siege of Kobanê ?","People Protection Units","10508","Who won Baltimore Orioles ?","World Series"
"12","31597","Who was the artist who participated in Battle of the Meander ?","Sultanate of Rum","19132","Which person was the champion of 1975 Iditarod ?","Emmitt Peters"
"13","39125","Who attended Battle of Gettysburg ?","Confederate States of America","154","Which application depicts association football ?","Match Day II"
"14","63495","Which artist participated in 2009–10 Ekstraklasa ?","Śląsk Wrocław","607","Which collectable expresses Antarctica ?","The heart of the Antarctic"
"15","574","Which person wrote the script for La bella Otero ?","La Belle Otero","717","What painting depicts Nîmes ?","grande fresque de la gare de Lyon"
"16","679","Who was the screenwriter for The Woman with a Broken Nose ?","Srđan Koljević","1004","Which work of art expressess Paul Anka ?","Lonely Boy"
"17","1154","Who wrote the screenplay for Flirtation Walk ?","Delmer Daves","1103","What is expressed in Enceladus Fountain ?","man"
"18","2217","Which work of art is Pablo Picasso a screenwriter of ?","The Mystery of Picasso","1638","Which painting demonstrates Rosalba Carriera ?","Self-portrait"
"19","7419","What is Brad Peyton a screwriter of ?","Evelyn: The Cutest Evil Dead Girl","1915","Which painting expressess farmer ?","Long Pond, Foot of Red Hill"
"20","20728","Which television program did J. R. R. Tolkien do the screenwriting for ?","The Return of the King","3873","Which architectural structure expressess Christianity ?","Christian sacral architecture"
"21","34631","Which film genre has William Beaudine as screenwriter ?","Black and White","4684","Which work depicts Erich Honecker ?","My God, Help Me to Survive This Deadly Love"
"22","61","Which organization is under posessision of Australia ?","Snowy Hydro","5411","Which painting depicts Marseille ?","grande fresque de la gare de Lyon"
"23","616","Which monument is owned by Artaxerxes III ?","Mausoleum of Maussollos","7652","Which print expresses farmer ?","Return from the Fields"
"24","707","Which transport company belongs to Kazakhstan ?","Kazakhstan Temir Zholy","8133","What is demonstrated in Flag of Niue ?","Crux"
"25","1867","Which museum belongs to Harvard University ?","Harvard Art Museums","11331","Which painting expresses merchant ?","Sermon and Deeds of the Antichrist"
"26","2058","Who is the owner of Montpellier Hérault Rugby ?","Mohed Altrad","12810","Which taxon is depicted in second coat of arms of Elburg ?","Prunus spinosa"
"27","4062","Which organization owned RMS Queen Mary 2 ?","Cunard Line","13498","What is depcited in sports film ?","sport"
"28","4559","Which nonprofit organization owned Stanford Cardinal ?","Stanford University","13758","Which symbol demonstrates Luke the Evangelist ?","Cross of Saint Euphrosyne"
"29","4988","Which building does Castle of Legnano belong to ?","Policlinico di Milano","14705","Which artwork series expresses physician ?","Portrait of Dr. Gachet"
"30","5584","Which person belongs to Ivan Turgenev ?","Dianka","15951","Which works of art demonstrate Frédéric Chopin ?","Frédéric Chopin"
"31","5770","Which sports venue belongs to Brussels ?","King Baudouin Stadium","19091","Which furniture demonstrates Society of Jesus ?","Southern Barbarian (Nanban-jin) Boat at Shore"
"32","5781","Who owns Malkin Athletic Center ?","Harvard University","19524","Which collectable expressess Antarctica ?","The heart of the Antarctic"
"33","6558","Which business organization owned Microsoft ?","BlackRock","22817","Which media expresses singer ?","Chanteur florentin du XVe siècle"
"34","7520","Who owns TV Shop ?","Guthy-Renker","22917","Which print depicts Japan ?","The Fifty-Three Stations of the Tōkaidō: Station #49: Sakanoshita"
"35","8728","Which stadium belongs to Madrid ?","Campo de Fútbol de Vallecas","25252","Which literary work expresses United States Army ?","The Liberation Trilogy"
"36","10142","Which collection belongs to Netherlands ?","Het Loo Palace","26626","Which text depicts architect ?","Billiards at Half-past Nine"
"37","11346","Which organization belongs to Australia ?","Snowy Hydro","28523","Which collectable demonstrates Australia ?","The Voyage of the Beagle"
"38","11419","Which ministry owned Arlington National Cemetery ?","United States Department of the Army","35063","Which text expresses architect ?","Billiards at Half-past Nine"
"39","13517","Which work of art belongs to United Kingdom ?","Napoleon as Mars the Peacemaker","35999","Which collectable depicts Buenos Aires ?","The Voyage of the Beagle"
"40","18251","Which person owned Loglan ?","James Cooke Brown","47833","Which furniture depicts trade ?","Southern Barbarian (Nanban-jin) Boat at Shore"
"41","19277","Which division belongs to Sony BMG ?","Sanctuary Records","48430","Which genre of sculpture depicts farmer ?","Worker and Kolkhoz Woman"
"42","20005","Who owns Riot Games ?","Tencent","53256","Which information expresses Thomas the Apostle ?","incredulity of Thomas"
"43","20947","Which architectural structure belongs to HC Ambrì-Piotta ?","Valascia","54155","Which award depicts archery ?","Guild dish depicting a jay shooting"
"44","27207","Who owns FremantleMedia ?","RTL Group","56671","Which television program expressess Mary Temple Grandin ?","Temple Grandin"
"45","28170","Which collection owned Picture clock with Alster panorama ?","Stiftung Historische Museen Hamburg","59346","Which media expressess United Kingdom ?","Prima Europe Tabula"
"46","30179","Which home belongs to Kingdom of England ?","Fort Metal Cross","60069","Which artistic theme expresses painter ?","Self-Portrait With a Bandaged Ear"
"47","30386","Which business enterprise owned Sony Music Entertainment ?","Sony Corporation of America","61540","Which print demonstrates Boulogne-Billancourt ?","From Bois de Boulogne"
"48","31718","Which factory belongs to Denmark ?","Royal Mint","59","Who is the patron saint of Brescia?","Faustinus and Jovita"
"49","33463","Who owns Le Journal du Dimanche ?","Lagardère Active","658","Which person has France as their patron saint ?","Saint Remigius"
"50","34136","Which geographical object owned Spartak Stadium ?","Football Federation of Kyrgyz Republic","211","Which collectable produced New York City ?","Hidden Ivies"
"51","35443","Who owns Future Arena ?","Rio de Janeiro","877","Which application was issued by Russia ?","Postal III"
"52","39262","Which dog type belongs to Elizabeth II ?","Susan","1572","Which software published FIFA 07 ?","Electronic Arts"
"53","39825","Which authority organ owned Airports Corporation of Vietnam ?","Government of Vietnam","1948","Who released Battlefield Play4Free ?","Electronic Arts"
"54","41798","Which tunnel belongs to New York City ?","Park Avenue Tunnel","2256","Who published Smart Ball ?","Epic/Sony Records"
"55","43047","Which administrative territory owned The Folly Tower ?","Torfaen County Borough Council","2528","Which television program was published by Xbox ?","The Outer Limits"
"56","45149","Which political territory owned Deutsche Bundespost ?","Germany","2573","Which business organization published Isshūkan Friends ?","Square Enix"
"57","49133","Who owns Loglan ?","James Cooke Brown","3563","Which organization released The Thing ?","Vivendi Games"
"58","51043","Which government agency owned Interstate 90 in Montana ?","Montana Department of Transportation","4352","What was released by National Institute for Occupational Safety and Health ?","NIOSH Power Tools Database"
"59","53464","Which newspaper belongs to Northern League ?","la Padania","4997","Which organization published Pokémon ?","The Pokémon Company"
"60","59841","Which symbol belongs to Dish Network ?","Blockbuster LLC","6850","Who published Rise of the Dragon ?","Sierra Entertainment"
"61","61095","Who owns Estadi Olímpic Lluís Companys ?","Barcelona","7717","What is the name of software which published Pokémon Yellow ?","Nintendo"
"62","61199","Who owns Vinohrady Cemetery ?","Prague","8773","Which division published No Game No Life-mart ?","Media Factory"
"63","120","Which assembly represents Poland ?","Parliament of Poland","9083","Who published Ace of Aces ?","Accolade"
"64","284","Which assembly governs New York City ?","New York City Council","10003","Which software released Shrek 2 ?","Activision Publishing, Inc."
"65","415","Which assembly is the legislative body for France ?","French Parliament","12294","Which magazine genre produced University of Tartu ?","Studia Humaniora Tartuensia"
"66","496","Which legislature represents Paris ?","council of Paris","15333","Who published The Strange Case of Origami Yoda ?","Abrams Books"
"67","937","Which legislature governs United States of America ?","United States Congress","15519","Who published Resident Evil Outbreak ?","Capcom"
"68","1438","Which legislature is the representative body for Lombardy ?","Regional Council of Lombardy","18313","Who published Destroy All Humans! Path of the Furon ?","THQ"
"69","9648","Which parliament governs Ukraine ?","Verkhovna Rada","19930","Who released Cruise for a Corpse ?","Delphine Software International"
"70","11385","Which Landtag represents Vienna ?","Landtag and City Council of Vienna","20800","Which application produced Russia ?","Postal III"
"71","17149","What has United States Congress as its representative body ?","United States of America","21864","Which publication produced Central Committee of the Communist Party of the Soviet Union ?","Der Emes"
"72","42416","Which form of government governs Montreal ?","Montreal City Council","22476","Which person released A Memoir of the Life and Character of the Late Joseph Parrish, M.D. ?","Lydia R. Bailey"
"73","177","Which is the national anthem of Central African Republic ?","La Renaissance","23372","Who published Fantasy Zone ?","Japan"
"74","306","Which literary work is the anthem for Italy ?","Il Canto degli Italiani","23514","Who released Blazerush ?","Targem Games"
"75","106","Who composed Hollywood Cavalcade ?","David Buttolph","24136","Who released Pokémon ?","Nintendo"
"76","358","Who composed Good Cop ?","Paul Englishby","25023","Which university published South Dakota Review ?","University of South Dakota"
"77","397","Which television program was composed by Ashley Tisdale ?","Picture This","25221","Who released Molecule Man ?","Mastertronic"
"78","531","Who composed Miranda ?","Riz Ortolani","26729","Who published Call of Duty: Modern Warfare 3 ?","Square Enix"
"79","879","Who composed Fantastic Four: Rise of the Silver Surfer ?","John Ottman","26782","Who released Splatoon ?","Nintendo"
"80","940","Who composed LBJ ?","Marc Shaiman","31137","Who released The Lion King ?","Virgin Interactive"
"81","1153","Who was Flirtation Walk composed by ?","Allie Wrubel","31601","Who published Digger ?","Windmill Software"
"82","1388","Who wrote the music for Press for Time ?","Mike Vickers","32103","Who released Street Fighter IV ?","Capcom"
"83","1468","Which person composed Norma ?","Vincenzo Bellini","32390","Who published Tintin: Destination Adventure ?","Infogrames"
"84","3598","Who composed Mame ?","Jerry Herman","34799","Which profession released Monster Seed ?","Sunsoft"
"85","3657","Who did the compostion for Make a Fake ?","Mauro Pagani","37391","Who published Guru Logi Champ ?","Compile"
"86","7038","Which work of art is composed by Grzegorz Skawiński ?","Ostatnia misja","39439","Who published Pokémon Silver ?","Nintendo"
"87","7149","Who composed Cry Freedom ?","George Fenton","42344","Who published WWE SmackDown vs. Raw 2010 ?","THQ"
"88","9161","Who composed Imperium: Augustus ?","Pino Donaggio","43991","Who published Mystery Case Files: Escape From Ravenhearst ?","Big Fish Games"
"89","9757","Who composed Kickboxer ?","Paul Hertzog","44223","Who published Viva Piñata: Trouble in Paradise ?","Xbox Game Studios"
"90","10887","Which theatrical genre is David Wood a composer of ?","The Gingerbread Man","51798","Who released Total War: Rome II ?","Sega"
"91","13358","Who composed Extreme Justice ?","David Michael Frank","54122","Who published Woman and her possibilities ?","G. Hassell and Son"
"92","14382","Who composed Michel Strogoff (miniseries) ?","Vladimir Cosma","54135","Who released Dance Dance Revolution 4thMix ?","Konami"
"93","14466","Who composed Demoted ?","David Kitay","54726","Who released Golden Axe ?","Virgin Interactive"
"94","15957","Who composed The Last Frontier ?","Leigh Harline","55092","Which profession published Blood Wake ?","Xbox Game Studios"
"95","16076","Who composed Gomer Pyle ?","Carl Brandt","55108","Which occupation published Day of Love ?","actor"
"96","17074","Who composed Luminous Arc 2 ?","Akari Kaida","57101","Who released Winter Sports 2: The Next Challenge ?","Conspiracy Entertainment"
"97","17178","Who composed Story of Women ?","Matthieu Chabrol","474","Which administrative territory does Mariano Trujillo represent ?","Mexico"
"98","20478","Who composed 7G Rainbow Colony ?","Yuvan Shankar Raja","2816","Who plays for Dominican Republic ?","Dominica national football team"
"99","20968","Who composed Rocco and His Brothers ?","Nino Rota","5475","Which national sports team represents Vietnam ?","Vietnam national football team"
"100","22581","Who composed See No Evil ?","Elmer Bernstein","8813","Which political territory does Germany national football team represent ?","Germany"
"101","23702","Who composed Hors Saison ?","Peer Raben","12772","Whose national association football team is Swaziland ?","Swaziland women's national football team"
"102","23803","Who composed Tano da morire ?","Nino D'Angelo","48110","Which person represents Yemen ?","Mohammed Rageh"
"103","26083","Who composed Jaseiken Necromancer ?","Jun Chikuma","50523","Who represents Denmark ?","Andreas Martinsen"
"104","27677","Who composed Heroes ?","Johannes Vogel","54879","Who represents Solomon Islands ?","Solomon Islands women's national football team"
"105","30525","Who composed Mr. Vampire II ?","Anders Nelsson","1150","Which aircraft class is the facility operator of aircraft ?","global aircraft fleet"
"106","30591","Who composed Red Army ?","Christophe Beck","1891","Which architectural structure is the administrator of Franklin & Marshall College ?","Sponaugle–Williamson Field"
"107","30886","Who composed Battle Beyond the Sun ?","Carmine Coppola","2872","Who operates Sidney Leslie Goodwin ?","White Star Line"
"108","31410","Who composed Dennis the Menace ?","Jerry Goldsmith","3701","Who operates DB Class 23 ?","Deutsche Bundesbahn"
"109","31469","Who composed Harlequin ?","Brian May","4041","Which construction can be described as service operator of Netherlands ?","Embassy of the Netherlands, Berlin"
"110","32971","Who composed Chasing Girls ?","Teddy Robin","5254","Which weapon was managed by France ?","AASM"
"111","33183","Which literary work has Boris Vian as the composer ?","Le Déserteur","7371","Which social group operates Sky Blu ?","British Antarctic Survey"
"112","33232","Who composed Woman Haters ?","Louis Silvers","9396","Who manages USS Ulysses S. Grant ?","United States Navy"
"113","36374","Who composed 13 jours en France ?","Francis Lai","12344","Who manages Oslo Airport ?","Avinor"
"114","38416","Who composed Tobal No. 1 ?","Masashi Hamauzu","14340","Which organization operates CP Class 1400 ?","Comboios de Portugal"
"115","40167","Who composed Jump Tomorrow ?","Harald Kloser","14979","Which nomenclature was operated by World Health Organization ?","International nonproprietary name"
"116","41721","Who composed Chalta Purza ?","Rahul Dev Burman","23180","Who manages HMS Invincible ?","Royal Navy"
"117","43685","Who composed A Simple Wish ?","Bruce Broughton","24632","Who manages Nørreport Station ?","DSB"
"118","46023","Who composed Garfield Gets Real ?","Kenneth Burgomaster","26511","Which transport company operates Higashi-Nakano Station ?","East Japan Railway Company"
"119","46596","Who composed Creepshow III ?","Chris Anderson","35907","Which voluntary association operates Brazil national football team ?","Brazilian Football Confederation"
"120","46784","Which musical composition has Joonas Kokkonen as the melodist ?","Symphony No. 3","42733","Which sports team can manage Metro Bank Park ?","Harrisburg Senators"
"121","49969","Who composed Tomb Raider: Legend ?","Troels Brun Folmann","43610","Who operates Ullevi ?","Got Event"
"122","50111","Who composed Forbidden Planet ?","Bebe Barron","46321","Which military branch operates USS Ohio ?","United States Navy"
"123","51365","Who composed Die, Monster ?","Don Banks","47199","Who manages Embassy of Brazil, Luanda ?","Brazil"
"124","53007","Who composed Dracula Has Risen from the Grave ?","James Bernard","50212","Who operates aircraft ?","global aircraft fleet"
"125","57577","Who composed Khandan ?","Ravi","51289","Which organization can manage MS Azura ?","P&O Cruises"
"126","58312","Who was Pocky & Rocky 2 composed by?","Kinuyo Yamashita","58142","Who operates Myasishchev M-4 Molot ?","Soviet Naval Aviation"
"127","60284","Who composed Unforgiven ?","Siggi Mueller","61618","Who manages aircraft ?","global aircraft fleet"
"128","61664","Who composed Quake 4 ?","Chris Vrenna","434","Which watercourse is situated nearby Paris ?","Seine"
"129","62586","Who composed Bullet to Beijing ?","Rick Wakeman","1193","Which body of water is located next to Riga ?","Gulf of Riga"
"130","47","What situation did Joseph Schillinger die in ?","natural causes","3089","Which waterway is located in the neighbourhood of New York City ?","East River"
"131","186","What manner did Ghena Dimitrova die ?","natural causes","2069","Which periodical literature has France as its publication location ?","El Socialista"
"132","500","Which activity best describes with circumstances of death of Daniel Lewin ?","homicide","2344","Which publication has Belgium as its release location ?","Res Publica"
"133","3360","Which situation led to the death of József Bersek ?","suicide","2424","What was published in United Kingdom ?","The Little Prince"
"134","16226","Which person has breast cancer as death circumstances ?","Montserrat Roig","7588","Which administrative territory is the location of publication of Reconnoitering Voyages and Travels, with Adventures in the new colonies of South Australia ?","London"
"135","334","Which person is the produced of One Hour with You ?","Ernst Lubitsch","19461","Where was The Buzz on Maggie published ?","Disney Channel"
"136","1031","Who is the creator of Prema ?","D. Ramanaidu","50244","Where was La Marseillaise published ?","Strasbourg"
"137","1846","Which work of art created Alexandre Trauner ?","Irma la Douce","487","Which word does Dominique Van Der Straeten hold ?","Doctor of Philosophy"
"138","2009","What has been developed by Italy ?","Calabuch","789","What is the degree held by Gustav Carl Framhein ?","Doctor of Laws"
"139","3773","Who produced Towed in a Hole ?","Hal Roach","1769","What degree or diploma was awarded to Yelena Soyni ?","Doctor of Sciences in Philology"
"140","4474","Who produced Kaalia ?","Sunil Bohra","4442","What degree does Johann Erich Biester hold ?","Doctor of Laws"
"141","6614","Who produced The Biggest Bundle of Them All ?","Josef Shaftel","4662","Which qualification does Gury Marchuk hold ?","Doctor of Sciences in Physics and Mathematics"
"142","7300","Who produced My Heart Calls You ?","Arnold Pressburger","5271","Which doctoral degree does Mehmed Reshid hold ?","Doctor of Medicine"
"143","7674","Which person produced Shevri ?","Neena Kulkarni","10542","Which academic degree does Willem Aantjes hold ?","Master of Laws"
"144","16182","Which application created Ubisoft ?","Just Dance 2014","30183","Which phrase does Jan Chojeński hold ?","Doctor of both laws"
