frequency|word
2|(3R)-hydroxymyristoyl-ACP
1|(CheY-like)
1|(Cone
2|(Fe-S)-binding
1|(FtsB-like)
1|(H+)
1|(UDG)
1|(adenine(2503)-C(2))-methyltransferase
1|(chelated)
1|(cytosine(967)-C(5))-methyltransferase
1|(dimethylallyl)adenosine
1|(ftsY)
1|(glutamate--tRNA
1|(guanine-N(1)-)-methyltransferase
1|(heme
1|(in
1|(pseudouridine(1915)-N(3))-methyltransferase
40|1
8|1,
1|1,4-dihydroxy-2-naphthoate
2|1-acyl-SN-glycerol-3-phosphate
2|1-acyl-sn-glycerol-3-phosphate
1|1-carboxyvinyltransferase
1|1-dehydrogenase
1|1-like
1|1-related
4|10
1|10AD1
4|11
1|113
3|12
1|14
1|15
1|16
2|16,
2|16S
1|17-beta-dehydrogenase
3|1A
2|1A1
1|1B
1|1D
1|1F
28|2
4|2,
1|2,3,4,5-tetrahydropyridine-2,6-dicarboxylate
1|2-deoxyribose-5-phosphate
2|2-thiouridylase
1|2/3
1|20
1|21
1|23
2|23S
1|260
1|27
1|28S
13|2A
2|2B
1|2B17
2|2C
14|3
1|3'-terminal
2|3,
1|3-dehydroquinate
1|3-deoxy-D-manno-octulosonate
1|3-deoxy-manno-octulosonate
1|3-ketodihydrosphingosine
1|3-methyl-2-oxobutanoate
1|3-oxo-5-alpha-steroid
2|3-oxoacyl-ACP
1|3-oxosteroid
1|3-phosphate
1|3-phosphoshikimate
17|30S
1|32
1|329
2|34
1|35
1|39S
1|3C
11|4
1|4-dehydrogenase
1|4-hydroxy-tetrahydrodipicolinate
1|4-phosphate
1|40
1|40H
2|41
1|42E
2|431
1|48
1|491
1|4B
1|4E-binding
1|4Fe-4S
1|4L
3|5
1|5'-methylthioadenosine
1|5'-nucleotidase
1|5-aminolevulinate
18|5-hydroxytryptamine
21|50S
1|577
1|5A
6|6
2|60S
1|638
1|6K6
6|7
1|7,
1|7-interacting
2|70
1|775
1|7B
2|8
1|88
1|8A,
1|9
1|9-like
1|90
850|?
9|A
1|A,
1|A/B
1|A1,
2|A4
26|ABC
2|ABC-type
1|ABL1
1|ADP-ribosylation
1|AHA_0312
1|AHA_0362
1|AHA_0830
2|AHA_0918
1|AHA_1036
1|AHA_1045
1|AHA_1284
1|ALKBH2
1|AMED_1265
1|AMED_1987
1|AMED_2101
1|AMED_2194
1|AMED_2714
1|ANK
1|ASF1B
1|AT-hook-containing
1|AT-rich
11|ATP
8|ATP-binding
1|ATP-citrate
3|ATP-dependent
1|ATP-sensitive
8|ATPase
1|ATPase/membrane
1|Actin
1|Actin-related
1|Activating
1|Adenosine
1|Adhesion
1|AglA
1|Alpha-1-antitrypsin
1|Alpha-N-acetylgalactosaminide
1|Aminoacyl
2|Amyloid
1|Androgen
1|Angiopoietin-related
2|Ankyrin
18|Apoptosis
1|Apoptosis-inducing
1|Arf-GAP
1|Arylsulfatase
1|AsnC
1|Aspartate--tRNA
1|Atg16p
9|B
1|B,
1|B-cell
1|B1
1|B3
1|B8
1|BAN
1|BB_0057
1|BB_0669
1|BB_U11
1|BC4214
1|BC4260
1|BC4326
1|BC4405
1|BC4989
1|BDGL_001373
1|BDGL_002669
1|BDGL_002845
1|BF2117
1|BF2262
1|BF2626
1|BF3266
1|BF4581
1|BL0551
1|BL0751
1|BL0853
1|BL1064
1|BL1259
1|BL1367
1|BL1408
1|BL1561
1|BMA1300
1|BMAA1273
1|BN112_0365
1|BN112_0963
1|BN112_1131
1|BN117_0026
1|BN117_0051
1|BN117_0168
1|BN117_0847
1|BN117_0959
1|BN117_1687
1|BN117_1793
1|BN117_2189
1|BP0840
1|BP1878
1|BP3639
1|BPSL3207
1|BPSL3275
1|BPSS1114
1|BRG1
1|BSU09600
1|BSU11630
1|BSU19560
1|BSU27420
1|BSU27440
1|BSU32180
1|BSU33390
1|BSU34570
1|BT9727_3538
1|BT9727_3561
1|BT9727_4009
1|BT9727_4420
1|BT_2976
1|BT_3390
1|BT_3393
1|BT_3569
1|BT_3701
1|BT_3882
1|BT_4386
1|BT_4694
1|BU051
1|BU487
1|BU515
1|Bacitracin
1|Baculoviral
17|Bcl-2
1|Bcl-2,
1|Bcl-2-like
1|Beta-1,4-glucuronyltransferase
1|Beta-2
1|Beta-centractin
1|Bile
1|Bis(5'-nucleosyl)-tetraphosphatase
1|Bromodomain-containing
1|BvgA
10|C
1|C-1-tetrahydrofolate
1|C1-like
1|C3
1|C4-dicarboxylate
2|CAAX
1|CA_C2500
1|CA_C3106
1|CA_C3600
1|CBFA2T1
1|CBU_0609
1|CBU_1147
1|CBU_1324
1|CBU_1333,
1|CBU_1673
1|CD9
1|CKLF-like
1|CLC_0971
1|COX18
1|CPA1
1|CRA_a
1|CT0293
1|CT0818
1|CT2036
1|CTL0326
1|CTL0697
1|CT_199
1|CT_714
2|CT_728,
1|CT_841
1|Calcitonin
1|Calpain-9
1|Carbohydrate
2|Carnitine
3|Catenin
1|Cathepsin
1|Caur_0029
1|Caur_0376
1|Caur_0527
1|Caur_0529
1|Caveolin-1,
1|CbiM
1|Centriolin
3|CheA
1|CheB
1|Chlorophyll
1|Chromatin
1|Cj1490c
1|Cj1693c
2|Clp
1|Coatomer
1|Coiled-coil
3|Collagen
1|Copper-transporting
1|CrcB
1|CtaB
1|CusS
1|Cyclin-T1
1|Cyclin-dependent
1|Cystatin-B
4|Cytochrome
1|Cytospin-A
1|D
19|D(2)
1|D-alanyl-D-alanine
1|D-erythrose
1|D1
1|D2
1|DDX19A
1|DENND6A
2|DEP
1|DLX-3
1|DLX-4
11|DNA
1|DNA-3-methyladenine
1|DNA-binding
1|DNA-directed
1|DR_0744
1|DR_0777
1|DR_0807
1|DR_1106
1|DR_2308
1|DUP240
1|DVU1418
1|DVU1897
1|Dad4p
1|Dihydrolipoyl
1|Diphthine--ammonia
1|Disintegrin
4|DnaJ
2|Dolichol-phosphate
3|Dual
1|Dynamin-binding
1|Dynein
1|E
4|E3
1|E3A
1|EAE_01240
1|EAE_04960
1|EAE_05765
1|EAE_06060
1|EAE_06120
1|EAE_06240
1|ECIAI39_0094
1|ECIAI39_2354
2|ECIAI39_2851
1|ECIAI39_4335
1|ECL_00488
1|ECL_00561
1|ECL_01157
1|ECL_01939
1|ECUMN_1373
2|ECUMN_2568
1|ECUMN_2621
1|ECUMN_2744
1|ECUMN_2776
1|EDAR
1|EF1541
1|EF2070
1|EF2075
1|EF3202
1|EFR3
1|EKC/KEOPS
1|Ecto-NOX
1|Ectonucleoside
1|Emerin
1|Endothelial
1|EngA
1|Ephrin
2|Epidermal
2|Eukaryotic
1|ExbB
2|F
1|F-box
1|F-box/WD
1|F0
3|F0F1
1|F1
1|F1F0
1|F6
1|FG-nucleoporin
1|FK506-binding
1|FKBP-type
1|FN0299
1|FN0803
1|FN0912
1|FN1163
1|FN1312
1|FP0275
1|FP0379
1|FP0470
1|FP1182
1|FP1298
1|FP1329
1|FP1333
1|FP1335
1|FP1337
1|FP1919
1|FTSY
1|FTT_0695
1|Fat
1|Fc
1|FcRn
4|Fibroblast
1|FlgA
1|FlgJ
1|FliR
1|FmtC
1|Forkhead
1|Frizzled-4
2|FtsH
1|FtsH-2
2|FtsZ
1|Fumarase
3|G
1|G(z)
1|G/H
1|G1/S-specific
1|GADD45
1|GOT1A
1|GPI
1|GSU2222
1|GSU2836
1|GSU3067
1|GSU3279
4|GTP-binding
1|GTPase
1|GTPase-activating
1|Gamma-aminobutyric
1|Gem-associated
1|GidB
1|Gla
1|GlnH
1|Glutamate
1|Glutamyl/glutaminyl-tRNA
1|Glutathione
1|Glycerate
2|Glycogen
1|Glycolipid
1|GroEL
2|Growth
1|Guanidinoacetate
1|Guanine
2|H
1|H2A
1|H3.2
1|HAUS
1|HECTD2
1|HI0035
1|HI0249
1|HI0317
1|HI0361
1|HI1276
1|HMPREF0351_11120
1|HMPREF0351_11149
1|HMPREF0351_11543
1|HMPREF0421_20579
2|HMPREF0421_20640
1|HP0777
1|HP1080
1|HP1450
1|HPB-MLT
1|HPr
1|HRAS-like
1|Heat
1|Hexokinase-3
1|High
3|HisF
5|Histone
1|Histone-lysine
2|HlyD
1|HmuC
3|Homeobox
1|Hpr
8|I
1|IAP
1|IF-1
2|IF-2
9|II
1|IIA
3|IIABC
1|IIB
1|IIBC
1|IIC
2|III
1|IRE2
1|ISG15
1|IV
2|IX
2|Ig
1|IgG
2|Imidazole
1|Inhibitor
1|Ino4p
1|Inositol-3-phosphate
1|Insulin-like
1|Integrator
3|Integrin
1|Interferon
1|Interleukin-18,
1|Inward
1|Isocitrate
1|J
2|K
1|KIAA1109
1|KPHS_01320
1|KPHS_05870
1|KPHS_08120
1|KPHS_09240
1|KPHS_09270
1|KPHS_12290
1|Kallikrein
1|Kazal,
1|KefC
1|Keratin,
1|Kinesin
1|Kinetochore-associated
1|Klotho
1|Krueppel-like
1|Kunitz
1|Kv
1|L-aspartate
1|L-seryl-tRNA
1|L0118
2|L1
1|L10
1|L11
1|L12179
1|L137446
2|L14
1|L16
1|L180469
1|L19
2|L2
1|L2,
2|L21
1|L22
1|L23
2|L24
1|L33
1|L34
1|L35
1|L38
1|L4822
1|L5
1|L53,
1|L63811
1|L7
1|L7/L12
1|LA_2387
1|LA_2402
1|LA_4168
1|LBA0616
1|LBA0965
1|LBA1660
1|LBA1859
1|LIM
1|LSm10
1|Lactotransferrin
1|Large
1|Latexin
2|LepA
1|Leucine-rich
1|Loss
1|LprG
1|Lsb3p
1|Lsb5p
1|Lysine-specific
1|M-Ras,
1|MAB_2664c
1|MAB_3283c
1|MAD1
1|MAGE-like
1|MAK16
1|MARCH8
1|MARVEL
1|MCPs
1|ML0582
1|ML0792
1|ML1467
1|ML1623
1|ML1655
1|ML2412
1|MOB-like
1|MPC1
1|MPN277
1|MPN356
1|MPN629
1|MSC_0042
1|MSC_0330
2|MSC_0722
1|MSC_0740
1|MSC_0856
1|MSC_0890
1|MSMEG_0087
1|MSMEG_1064
1|MSMEG_2541
1|MST27
1|Mannose-1-phosphate
1|Matrix
1|Mb1446c
1|Mb1597
1|Mb1888
1|Mb2618c
1|Mb3648c
1|Mediator
1|Meis1
1|Metallo-beta-lactamase
1|Methionine-R-sulfoxide
1|Methyltransferase-like
1|Mfl374
1|Mfl441
1|Mfl571
1|Mfl608
1|Mgm101p
1|MhqD
3|Mitochondrial
1|Mitogen-activated
2|MnmA
1|ModB
1|ModC
1|Moth_0743
1|Moth_1482
2|Moth_1902,
1|Moth_2290
1|Moth_2309
1|Moth_2354
1|Mothers
1|MraW
1|MraZ
2|MscS
1|Mucin-1
1|MurJ
1|Musculin
1|Myomegalin
1|Myomesin-1
1|N,N-dimethylaniline
1|N-acetyl
1|N-acetyl-gamma-glutamyl-phosphate
1|N-acetylglucosaminephosphotransferase
2|N-methyltransferase
1|N-myc-interactor
1|N-succinyltransferase
2|NAD-dependent
4|NADH
2|NADH-quinone
1|NEP1
1|NEW
1|NGO0573
1|NGO0578
2|NGO0611
1|NGO1830
1|NGO1853
1|NGO1993
1|NGR_b03410
1|NMB0163
1|NMB0194
1|NMB0590
1|NMB0758
1|NMB0798
1|NOV
1|NRG857_01800
1|NRG857_01885
1|NRG857_02855
1|NRG857_03070
1|NRG857_05210
1|NRG857_07315
1|NRG857_10905
1|NTR
1|NUP57
1|Na(+)/H(+)
1|Na+-driven
1|Neurofilament
1|Neurogenic
1|Nexilin
1|NhaA
1|Niban,
1|Niemann-Pick
1|Non-secretory
1|Normal
3|Nuclear
1|Nucleoside
1|Nup133
1|O
1|O-acetyltransferase
2|O-palmitoyltransferase
1|O-succinyltransferase
1|O3K_00690
1|O3K_01635
1|O3K_03365
1|O3K_05015
3|Olfactory
1|Opioid-binding
1|Opsin
1|Oxytocin
2|P-ring
2|P-type
1|P2X
1|P2Y
2|P450
1|PA1085
1|PA1183
1|PA3103
1|PA3814
1|PA5070
1|PA5155
1|PH
2|PHD
1|PP_0009
1|PP_0012
1|PP_0436
1|PP_1334
1|PP_2302
1|PP_4119
1|PP_4964
1|PP_5097
1|PR
1|PSF1
1|PSF3
1|PSPTO_3843
1|PSPTO_4403
1|PSPTO_5008
1|PSPTO_5152
1|PSPTO_5282
1|PSPTO_5424
1|PTC2
6|PTS
1|Pancreatic
1|Pannexin-3
1|Pappalysin-1
1|Paralemmin-2,
2|Paternally-expressed
1|PcbD
1|PdxA
1|Peptide
1|Peptidoglycan
1|Peptidyl-glycine
1|Pho89p
1|PhoQ
1|PhoR
1|PhoU
2|Phospholipid
1|Plasma
1|Plasminogen
1|Platelet
1|Preprotein
1|Pro_0735
1|Pro_0751
1|Pro_1167
1|Pro_1400
1|Pro_1620
1|Pro_1812
3|Probable
1|Programmed
1|Prosalusin
1|Prostaglandin
12|Protein
3|Proto-oncogene
1|Protocadherin
1|PrpE
1|Psyr_3672
1|Psyr_3756
1|Psyr_4072
1|Psyr_4816
1|Putative
1|Q0065
1|R
2|RB10255,
1|RB10271
1|RB10566
1|RB10883
1|RB4960
1|RFX3
1|RING
8|RNA
1|RNA-associated
3|RNA-binding
1|RNF169
1|RNF4
1|RNR2
1|RP355
1|RP415
1|RP648
1|RP775
1|RSP_1145
1|RSP_2242
1|RSP_2297
1|RSP_3194
1|RSP_3869
1|RXR-alpha
1|Rab
1|Rab-20
1|RalA-binding
3|Ras-related
1|RcsBC
1|Receptor
1|Receptor-type
4|Retinoic
1|Rex
1|RfaP
1|Rho
1|RhtB
1|Riboflavin
1|Ribosomal
1|Rim4p
1|RlmH
1|RlmN
1|RnfC
1|RpoS
1|Rru_A2516
1|Rru_A2678
1|Rru_A3288
1|Rru_A3358
2|Rru_A3360
1|Rru_A3621
1|Rv0710
1|Rv1201c
1|Rv1308
1|Rv1695
1|Rv2471
1|Rv2601
1|Rv2713
1|Rv3139
2|Ryanodine
1|S-adenosyl-methyltransferase
1|S-transferase
1|S1
1|S10
1|S100-A12
4|S11
1|S13
1|S14
1|S16,
3|S17
1|S18
1|S19
2|S3
1|S7
1|S8
1|SAFB-like
1|SAG0270
1|SAG0476
1|SAOUHSC_01142
1|SAOUHSC_01235
1|SAOUHSC_02750
2|SAOUHSC_02975
1|SAP30L
2|SCO1/SenC
1|SCO3225
1|SCO4653
1|SCY1-like
1|SDY_3459
1|SDY_3832
1|SE1041
1|SEC62
1|SH2
2|SH3
1|SHCBP1L
1|SID1
1|SLC35A5
1|SLIT-ROBO
1|SMC6
1|SMU_1264
1|SMU_1271
1|SMU_1874
1|SMU_2162c
1|SMU_482
1|SMU_770c
1|SMU_809
2|SM_b21578
1|SMc01654
1|SMc01863
1|SMc01913
1|SMc02042
1|SMc02498
1|SMc02804
1|SOCS
1|SOF1
1|SOX-1
1|SOX-5
1|SOX-8
1|SO_3419
1|SO_3435
1|SO_3534,
1|SO_3674
1|SO_3894
1|SO_4447
1|SO_4564
1|SO_4614
1|SPR28
1|SPT4-A
1|SRU_0766
1|SRU_1038
1|SRU_1058
1|SRU_1565
2|SRU_1661,
1|SRU_2100
1|SRU_2348
1|SRU_2460
1|SRU_2831
1|SSA_0119
1|SSA_0193
1|SSA_0773
1|SSA_1143
1|SSUBM407_0346
1|SSUBM407_0421
1|SSUBM407_0625
1|SSUBM407_0651
1|SSUBM407_0869
1|SSUBM407_1585
1|SUN
1|SUV39H1
1|Sec39p
1|Sec63
1|SecA
1|SecD
1|SecD/SecF
2|SecE
2|SecG
1|SecY
1|Sentrin-specific
1|Septin-2
2|Serine
1|Serine/threonine-protein
1|Serpin
1|Short-chain
1|Signal
1|Sin4p
1|Sm
1|Sm-like
2|Small
1|Smed_2167
2|Sodium-dependent
1|Sodium/glucose
3|Solute
1|Sorbin
1|Spermatogenesis-
1|Spexin
1|Sphingosine
3|Src
1|SstT
1|Stu2p
1|Sua5/YciO/YrdC/YwlC
1|SurE
1|SusD,
1|Synphilin-1
2|T-cell
1|T-complex
1|TALPID3
1|TBC1
1|TDE0778
1|TDE0813
1|TDE2428
1|TEMP
1|THEYE_A0339
1|THEYE_A0538
1|THEYE_A1416
1|THEYE_A1889
1|THO
2|TIM50
1|TM0158
1|TM0235
1|TM1658
1|TM1780
1|TPRKB
1|TTHA0094
1|TTHA1472
1|TTHA1815
1|TTLL3
1|Taf2p
1|Taf6p
1|Taste
1|TatC
1|Tectonic-2
